graph algo p k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
rmat_s28_ef8_0.25_0.25_0.25_0.25_exp kCS random 4 128 0 268435456 16779253 2130704317 59.325902 13.953077 47 500256603 35418122843891.00
rmat_s28_ef8_0.25_0.25_0.25_0.25_exp kCS random 4 128 1 268435456 16780057 2130703513 59.491715 14.037953 47 500256674 35418122605704.00
rmat_s28_ef8_0.25_0.25_0.25_0.25_exp kCS random 4 128 2 268435456 16774964 2130708606 59.232767 14.069534 46 500256705 35418124744425.00
rmat_s28_ef8_0.25_0.25_0.25_0.25_uni kCS random 4 128 0 268435456 16776751 2130706821 61.161860 14.237054 47 500262081 202636900109622.00
rmat_s28_ef8_0.25_0.25_0.25_0.25_uni kCS random 4 128 1 268435456 16769356 2130714216 60.501195 14.077903 47 500262104 202636905060220.00
rmat_s28_ef8_0.25_0.25_0.25_0.25_uni kCS random 4 128 2 268435456 16770481 2130713091 60.884840 13.973783 47 500262076 202636905807185.00
rmat_s28_ef8_0.45_0.15_0.15_0.25_exp kCS random 4 128 0 268435456 16777673 2130581329 59.479106 15.246616 52 388875593 25950168733099.00
rmat_s28_ef8_0.45_0.15_0.15_0.25_exp kCS random 4 128 1 268435456 16779736 2130579266 58.379760 14.887617 52 388875601 25950169920001.00
rmat_s28_ef8_0.45_0.15_0.15_0.25_exp kCS random 4 128 2 268435456 16776931 2130582071 59.054214 15.190938 53 388875655 25950168519441.00
rmat_s28_ef8_0.45_0.15_0.15_0.25_uni kCS random 4 128 0 268435456 16778412 2130580229 62.809484 15.355381 52 388863271 146193991835631.00
rmat_s28_ef8_0.45_0.15_0.15_0.25_uni kCS random 4 128 1 268435456 16773690 2130584951 60.496369 15.106984 51 388863279 146193995899015.00
rmat_s28_ef8_0.45_0.15_0.15_0.25_uni kCS random 4 128 2 268435456 16774958 2130583683 60.579505 15.171485 52 388863259 146193985475346.00
