graph algo p k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 8 0 1048576 6288723 44040633 21.373532 1.173004 111 4148176 438656359195.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 8 1 1048576 6290909 44038447 21.169299 1.158019 113 4148173 438656969067.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 8 0 1048576 6294547 44034699 21.625697 1.156293 108 4148291 1932889605303.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 8 1 1048576 6291636 44037610 21.565618 1.168817 108 4148315 1932889975893.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 8 0 1048576 6265335 43869953 22.188482 1.293508 105 3903505 362538726581.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 8 1 1048576 6267107 43868181 21.603506 1.298974 105 3903502 362538487536.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 8 0 1048576 6269204 43866435 21.235004 1.310499 104 3904212 1689093604396.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 8 1 1048576 6269423 43866216 22.072524 1.297190 103 3904188 1689092347497.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 8 0 1048576 6015398 42106093 19.827730 1.327328 99 2384060 193423407917.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 8 1 1048576 6013437 42108054 19.742365 1.298859 99 2384061 193423387715.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 8 0 1048576 6013220 42112582 20.122333 1.294170 100 2384724 931767256300.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 8 1 1048576 6015477 42110325 19.794084 1.314469 100 2384788 931772678205.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 8 2 1048576 6291387 44037969 21.517265 1.162104 112 4148162 438656721325.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 8 2 1048576 6296385 44032861 21.653035 1.162934 107 4148301 1932891248795.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 8 2 1048576 6269292 43865996 20.934048 1.304100 105 3903504 362538651240.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 8 2 1048576 6267020 43868619 22.457252 1.303027 104 3904159 1689086479759.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 8 2 1048576 6018977 42102514 20.229783 1.321383 100 2384058 193423310667.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 8 2 1048576 6018915 42106887 20.177809 1.296740 99 2384764 931775934348.00
rmat_s21_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 16 0 2097152 3146687 47184352 21.051665 1.298381 90 8194959 694121807322.00
rmat_s21_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 16 1 2097152 3146350 47184689 21.848700 1.302573 89 8194919 694121582246.00
rmat_s21_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 16 2 2097152 3143402 47187637 22.221457 1.311431 90 8194911 694121202845.00
rmat_s21_ef24_0.25_0.25_0.25_0.25_uni kCS random 8 16 0 2097152 3146831 47184225 21.320793 1.296976 90 8194899 3602735670707.00
rmat_s21_ef24_0.25_0.25_0.25_0.25_uni kCS random 8 16 1 2097152 3147687 47183369 21.674573 1.281757 90 8194922 3602741277989.00
rmat_s21_ef24_0.25_0.25_0.25_0.25_uni kCS random 8 16 2 2097152 3142714 47188342 21.966638 1.288742 90 8194913 3602744614264.00
rmat_s21_ef24_0.45_0.15_0.15_0.25_exp kCS random 8 16 0 2097152 3139004 47113996 21.022953 1.277200 89 7260785 551269979809.00
rmat_s21_ef24_0.45_0.15_0.15_0.25_exp kCS random 8 16 1 2097152 3140800 47112200 20.960444 1.274962 89 7260775 551270194704.00
rmat_s21_ef24_0.45_0.15_0.15_0.25_exp kCS random 8 16 2 2097152 3140753 47112247 21.822491 1.277715 89 7260783 551270063032.00
rmat_s21_ef24_0.45_0.15_0.15_0.25_uni kCS random 8 16 0 2097152 3143649 47110259 21.868202 1.278527 91 7262435 2920110542285.00
rmat_s21_ef24_0.45_0.15_0.15_0.25_uni kCS random 8 16 1 2097152 3140051 47113857 21.243910 1.281080 92 7262450 2920108361829.00
rmat_s21_ef24_0.45_0.15_0.15_0.25_uni kCS random 8 16 2 2097152 3140637 47113271 21.327400 1.282474 91 7262450 2920111249555.00
rmat_s21_ef24_0.55_0.15_0.15_0.15_exp kCS random 8 16 0 2097152 3078003 46173991 20.967960 1.016471 95 3874724 278570713367.00
rmat_s21_ef24_0.55_0.15_0.15_0.15_exp kCS random 8 16 1 2097152 3076555 46175439 20.337305 0.998570 94 3874723 278570771092.00
rmat_s21_ef24_0.55_0.15_0.15_0.15_exp kCS random 8 16 2 2097152 3074755 46177239 20.743408 1.013923 94 3874722 278570695739.00
rmat_s21_ef24_0.55_0.15_0.15_0.15_uni kCS random 8 16 0 2097152 3080328 46173254 20.462779 1.019560 97 3875289 1446546232704.00
rmat_s21_ef24_0.55_0.15_0.15_0.15_uni kCS random 8 16 1 2097152 3076459 46177123 20.484919 1.020279 98 3875310 1446545944095.00
rmat_s21_ef24_0.55_0.15_0.15_0.15_uni kCS random 8 16 2 2097152 3077978 46175604 20.517838 1.010742 97 3875295 1446541542564.00
rmat_s22_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 32 0 4194304 3148473 97514207 42.314651 1.740650 89 16389234 1388513557382.00
rmat_s22_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 32 1 4194304 3147228 97515452 42.445752 1.746009 89 16389256 1388513759864.00
