graph algo p k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
fbA kCS random 8 1 0 357059 43057511 0 18.295481 8.197807 315 32298 29135367040.00
fbA kCS random 8 1 1 357059 43057511 0 18.540250 8.147868 303 32305 29135359363.00
fbC kCS random 8 1 0 990023 40654711 0 18.272661 10.884232 307 31001 239913210946.00
fbC kCS random 8 1 1 990023 40654711 0 18.373985 10.833492 293 30999 239913208117.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 1 0 1048576 50329356 0 29.387766 7.362468 103 4148176 438656359195.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 8 1 1 1048576 50329356 0 28.943569 7.331388 104 4148173 438656969067.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 1 0 1048576 50329246 0 29.162039 7.366288 105 4148291 1932889605303.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 8 1 1 1048576 50329246 0 29.381627 7.362626 105 4148315 1932889975893.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 1 0 1048576 50135288 0 27.404251 8.397748 102 3903505 362538726581.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 8 1 1 1048576 50135288 0 27.393112 8.345108 102 3903502 362538487536.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 1 0 1048576 50135639 0 28.488070 8.375657 98 3904212 1689093604396.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 8 1 1 1048576 50135639 0 28.047811 8.390578 98 3904188 1689092347497.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 1 0 1048576 48121491 0 24.967201 8.544651 93 2384060 193423407917.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 8 1 1 1048576 48121491 0 24.863711 8.492735 93 2384061 193423387715.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 1 0 1048576 48125802 0 25.210029 8.533425 93 2384724 931767256300.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 8 1 1 1048576 48125802 0 33.584606 8.468721 93 2384788 931772678205.00
fbA kCS random 8 1 2 357059 43057511 0 18.696690 8.199361 315 32293 29135358011.00
fbC kCS random 8 1 2 990023 40654711 0 18.601337 10.956673 302 31000 239913214155.00
