graph algo p k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
fbA kCS random 16 1 0 357059 43057511 0 18.214551 9.021720 557 62610 47847442517.00
fbA kCS random 16 1 1 357059 43057511 0 18.155360 9.042481 559 62607 47847430676.00
fbA kCS random 16 1 2 357059 43057511 0 18.559011 8.992432 555 62610 47847436079.00
fbA kCS random 32 1 0 357059 43057511 0 18.393878 11.777910 963 120240 79337815405.00
fbA kCS random 32 1 1 357059 43057511 0 18.580110 11.811999 942 120246 79337820105.00
fbA kCS random 32 1 2 357059 43057511 0 18.464525 11.883702 974 120252 79337813976.00
fbA kCS random 4 1 0 357059 43057511 0 18.643908 7.825018 156 16324 17915577116.00
fbA kCS random 4 1 1 357059 43057511 0 19.102875 7.817035 151 16316 17915554149.00
fbA kCS random 4 1 2 357059 43057511 0 18.390439 7.803706 155 16321 17915580105.00
fbC kCS random 16 1 0 990023 40654711 0 18.190150 16.756127 618 59379 369196110795.00
fbC kCS random 16 1 1 990023 40654711 0 18.436325 16.846246 607 59380 369195416020.00
fbC kCS random 16 1 2 990023 40654711 0 18.819799 16.925939 612 59380 369196062604.00
fbC kCS random 32 1 0 990023 40654711 0 18.337462 24.819078 1065 116163 414694531434.00
fbC kCS random 32 1 1 990023 40654711 0 18.257068 25.089457 1076 116161 414693888846.00
fbC kCS random 32 1 2 990023 40654711 0 18.382968 24.585512 1049 116161 414694904034.00
fbC kCS random 4 1 0 990023 40654711 0 18.280927 7.434923 129 16760 138331289724.00
fbC kCS random 4 1 1 990023 40654711 0 18.279550 7.432376 130 16761 138331247551.00
fbC kCS random 4 1 2 990023 40654711 0 18.187146 7.462741 129 16762 138331290691.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 16 1 0 1048576 50329356 0 28.774866 11.231834 169 8289694 717952339318.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 16 1 1 1048576 50329356 0 28.553128 11.194370 169 8289616 717951202140.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 16 1 2 1048576 50329356 0 29.103160 11.138000 169 8289608 717953470947.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 32 1 0 1048576 50329356 0 29.527128 17.319365 252 16545143 1095275806901.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 32 1 1 1048576 50329356 0 28.905993 17.315802 251 16544828 1095272436987.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 32 1 2 1048576 50329356 0 29.288599 17.328874 252 16544789 1095276261800.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 4 1 0 1048576 50329356 0 29.283779 5.317862 60 2074901 254876588544.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 4 1 1 1048576 50329356 0 28.866859 5.305730 60 2074903 254876558431.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp kCS random 4 1 2 1048576 50329356 0 28.657276 5.315835 60 2074895 254876505045.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 16 1 0 1048576 50329246 0 29.293669 11.139941 168 8289803 3708185772652.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 16 1 1 1048576 50329246 0 29.294953 11.114130 165 8289761 3708157803811.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 16 1 2 1048576 50329246 0 29.644650 11.180848 166 8289766 3708162046923.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 32 1 0 1048576 50329246 0 29.379506 17.351680 249 16545360 6765924491298.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 32 1 1 1048576 50329246 0 29.520019 17.291236 252 16544871 6765869315740.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 32 1 2 1048576 50329246 0 29.387592 17.384938 250 16544881 6765921838632.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 4 1 0 1048576 50329246 0 29.383783 5.304478 61 2074731 985248043274.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 4 1 1 1048576 50329246 0 29.346342 5.305970 61 2074744 985250340296.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_uni kCS random 4 1 2 1048576 50329246 0 29.295169 5.288801 61 2074729 985251187877.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 16 1 0 1048576 50135288 0 27.914710 12.362064 157 7497865 572598093143.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 16 1 1 1048576 50135288 0 27.530648 12.480003 156 7497859 572597574781.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 16 1 2 1048576 50135288 0 27.708658 12.360156 156 7497869 572596922466.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 32 1 0 1048576 50135288 0 27.273490 19.617438 259 13657152 839436589245.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 32 1 1 1048576 50135288 0 27.593219 19.573946 259 13657236 839436009807.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 32 1 2 1048576 50135288 0 27.740547 19.723397 260 13657241 839436814907.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 4 1 0 1048576 50135288 0 27.546668 6.044482 56 1983088 215865331351.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 4 1 1 1048576 50135288 0 27.518576 5.990158 56 1983090 215865228432.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_exp kCS random 4 1 2 1048576 50135288 0 27.888572 6.019932 56 1983093 215865348151.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 16 1 0 1048576 50135639 0 27.730552 12.685457 159 7500249 3039072419552.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 16 1 1 1048576 50135639 0 27.860677 12.751588 159 7500097 3039059562419.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 16 1 2 1048576 50135639 0 27.747912 12.790412 159 7500096 3039064321603.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 32 1 0 1048576 50135639 0 27.652132 19.910362 268 13661239 5046498212181.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 32 1 1 1048576 50135639 0 27.826152 19.976053 268 13661070 5046494581880.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 32 1 2 1048576 50135639 0 28.053512 19.918973 268 13661194 5046498746792.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 4 1 0 1048576 50135639 0 27.905639 6.049133 58 1983336 891730428308.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 4 1 1 1048576 50135639 0 28.116932 6.023653 58 1983315 891724534377.00
rmat_s20_ef48_0.45_0.15_0.15_0.25_uni kCS random 4 1 2 1048576 50135639 0 27.913132 6.030939 58 1983306 891725587516.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 16 1 0 1048576 48121491 0 24.991411 12.666618 166 4086018 294533256708.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 16 1 1 1048576 48121491 0 25.029768 12.628436 166 4086005 294532984924.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 16 1 2 1048576 48121491 0 24.815266 12.615697 166 4086027 294533320334.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 32 1 0 1048576 48121491 0 24.781720 20.662086 309 6744780 428174911435.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 32 1 1 1048576 48121491 0 25.047074 20.646084 309 6744776 428175011066.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 32 1 2 1048576 48121491 0 24.685354 20.317266 309 6744782 428175056530.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 4 1 0 1048576 48121491 0 24.786664 6.398312 53 1324968 120664678742.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 4 1 1 1048576 48121491 0 24.843437 6.417439 53 1324970 120664628057.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_exp kCS random 4 1 2 1048576 48121491 0 24.773531 6.396346 53 1324971 120664671309.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 16 1 0 1048576 48125802 0 25.014699 12.522977 164 4088384 1533137444269.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 16 1 1 1048576 48125802 0 24.938797 12.666488 164 4088369 1533129676616.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 16 1 2 1048576 48125802 0 25.345701 12.522467 164 4088375 1533130192718.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 32 1 0 1048576 48125802 0 25.129412 20.678649 312 6747112 2402178672880.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 32 1 1 1048576 48125802 0 24.800661 20.696837 312 6747113 2402173426423.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 32 1 2 1048576 48125802 0 24.897767 20.566635 312 6747092 2402176835499.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 4 1 0 1048576 48125802 0 25.236851 6.451545 54 1325444 536854983343.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 4 1 1 1048576 48125802 0 25.183957 6.441209 54 1325452 536857595768.00
rmat_s20_ef48_0.55_0.15_0.15_0.15_uni kCS random 4 1 2 1048576 48125802 0 25.169432 6.424912 54 1325443 536857954924.00
fbA kCS random 16 2 0 357059 21518468 21539043 18.142512 6.077864 569 62610 47847442517.00
fbA kCS random 16 2 1 357059 21533735 21523776 17.903200 6.139124 576 62607 47847430676.00
fbA kCS random 16 2 2 357059 21530347 21527164 18.025175 6.118074 570 62610 47847436079.00
fbA kCS random 32 2 0 357059 21518468 21539043 17.993480 7.972647 979 120240 79337815405.00
fbA kCS random 32 2 1 357059 21533735 21523776 18.397568 8.081538 951 120246 79337820105.00
fbA kCS random 32 2 2 357059 21530347 21527164 18.039221 8.031504 985 120252 79337813976.00
fbA kCS random 4 2 0 357059 21518468 21539043 17.962536 5.456024 173 16324 17915577116.00
fbA kCS random 4 2 1 357059 21533735 21523776 18.152083 5.500600 165 16316 17915554149.00
fbA kCS random 4 2 2 357059 21530347 21527164 17.856541 5.481430 169 16321 17915580105.00
fbC kCS random 16 2 0 990023 20325086 20329625 18.030183 11.522978 629 59379 369196110795.00
fbC kCS random 16 2 1 990023 20321877 20332834 18.069585 11.651295 613 59380 369195416020.00
