graph algo p k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
rmat_s24_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 16 0 16777216 25164987 377487631 196.976025 14.091647 92 65558041 5554051844709.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 16 1 16777216 25154567 377498051 193.809555 14.032434 92 65558068 5554049821570.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_uni kCS random 8 16 0 16777216 25163327 377489265 193.591030 14.066363 93 65558444 28822098523014.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_uni kCS random 8 16 1 16777216 25160869 377491723 194.535395 13.936591 93 65558455 28822099510170.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_exp kCS random 8 16 0 16777216 13413126 201198328 99.161000 8.910688 72 25951128 2092668230990.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_exp kCS random 8 16 1 16777216 13411207 201200247 98.326736 8.961256 71 25951139 2092668555749.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_uni kCS random 8 16 0 16777216 25153340 377325873 184.824220 14.917010 93 56744851 22645183345087.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_uni kCS random 8 16 1 16777216 25165033 377314180 186.951324 14.861523 93 56744874 22645199804512.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_exp kCS random 8 16 0 16777216 24927061 373826136 177.629508 12.102231 104 27774318 1989685964314.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_exp kCS random 8 16 1 16777216 24918025 373835172 178.661508 12.278358 104 27774343 1989686521213.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_uni kCS random 8 16 0 16777216 24924182 373830705 177.054825 12.081740 101 27770938 10305881305206.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_uni kCS random 8 16 1 16777216 24913242 373841645 185.867749 12.131022 101 27770936 10305887676495.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 32 0 16777216 12583956 390068662 187.036843 7.631672 92 65558041 5554051844709.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 32 1 16777216 12575710 390076908 187.652075 7.669488 92 65558068 5554049821570.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_uni kCS random 8 32 0 16777216 12583918 390068674 187.883622 7.635119 93 65558444 28822098523014.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_uni kCS random 8 32 1 16777216 12579981 390072611 193.567103 7.657564 93 65558455 28822099510170.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_exp kCS random 8 32 0 16777216 6705488 207905966 97.418713 4.737046 72 25951128 2092668230990.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_exp kCS random 8 32 1 16777216 6706703 207904751 97.134282 4.599306 72 25951139 2092668555749.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_uni kCS random 8 32 0 16777216 12575181 389904032 180.582997 8.351749 93 56744851 22645183345087.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_uni kCS random 8 32 1 16777216 12582694 389896519 184.455872 8.194189 93 56744874 22645199804512.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_exp kCS random 8 32 0 16777216 12461056 386292141 173.878418 6.596683 104 27774318 1989685964314.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_exp kCS random 8 32 1 16777216 12459910 386293287 183.471336 6.654943 104 27774343 1989686521213.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_uni kCS random 8 32 0 16777216 12461276 386293611 178.561330 6.572570 101 27770938 10305881305206.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_uni kCS random 8 32 1 16777216 12458562 386296325 174.416837 6.659249 101 27770936 10305887676495.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 64 0 16777216 6287959 396364659 189.041588 4.883370 92 65558041 5554051844709.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 64 1 16777216 6285233 396367385 185.633527 4.707404 92 65558068 5554049821570.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_uni kCS random 8 64 0 16777216 6291934 396360658 184.913496 4.721505 93 65558444 28822098523014.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_uni kCS random 8 64 1 16777216 6287783 396364809 186.627296 4.774698 93 65558455 28822099510170.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_exp kCS random 8 64 0 16777216 3354794 211256660 96.261276 2.702575 72 25951128 2092668230990.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_exp kCS random 8 64 1 16777216 3353189 211258265 97.050731 2.686738 72 25951139 2092668555749.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_uni kCS random 8 64 0 16777216 6290023 396189190 180.719171 5.050110 93 56744851 22645183345087.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_uni kCS random 8 64 1 16777216 6291243 396187970 178.507502 5.081685 93 56744874 22645199804512.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_exp kCS random 8 64 0 16777216 6232808 392520389 171.494626 4.653757 104 27774318 1989685964314.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_exp kCS random 8 64 1 16777216 6230378 392522819 173.542611 4.658722 104 27774343 1989686521213.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_uni kCS random 8 64 0 16777216 6229030 392525857 173.174720 4.693814 101 27770938 10305881305206.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_uni kCS random 8 64 1 16777216 6231892 392522995 175.236635 4.667830 101 27770936 10305887676495.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 128 0 16777216 3144024 399508594 181.843166 3.570512 92 65558041 5554051844709.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_exp kCS random 8 128 1 16777216 3141012 399511606 189.800080 3.555876 92 65558068 5554049821570.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_uni kCS random 8 128 0 16777216 3145463 399507129 196.918304 3.522680 93 65558444 28822098523014.00
rmat_s24_ef24_0.25_0.25_0.25_0.25_uni kCS random 8 128 1 16777216 3142381 399510211 187.212315 3.559174 93 65558455 28822099510170.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_exp kCS random 8 128 0 16777216 1676819 212934635 94.213847 1.964760 72 25951128 2092668230990.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_exp kCS random 8 128 1 16777216 1674686 212936768 96.330042 1.936847 72 25951139 2092668555749.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_uni kCS random 8 128 0 16777216 3144619 399334594 176.177658 4.269971 93 56744851 22645183345087.00
rmat_s24_ef24_0.45_0.15_0.15_0.25_uni kCS random 8 128 1 16777216 3146600 399332613 177.766174 4.338446 93 56744874 22645199804512.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_exp kCS random 8 128 0 16777216 3117168 395636029 167.851511 4.078062 104 27774318 1989685964314.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_exp kCS random 8 128 1 16777216 3116031 395637166 169.845169 4.088795 104 27774343 1989686521213.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_uni kCS random 8 128 0 16777216 3115301 395639586 172.214019 4.203164 101 27770938 10305881305206.00
rmat_s24_ef24_0.55_0.15_0.15_0.15_uni kCS random 8 128 1 16777216 3117608 395637279 170.820978 4.145229 101 27770936 10305887676495.00
