graph algo epsilon k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
fb_clusterA_full kM 0.0001 16 1 0 357059 43057511 0 20.762990 472.029281 356 62648 47870683351.00
fb_clusterA_full kM 0.0001 16 1 1 357059 43057511 0 22.090141 470.374839 356 62648 47870683351.00
fb_clusterA_full kM 0.0001 16 1 2 357059 43057511 0 22.299766 474.390865 356 62648 47870683351.00
fb_clusterA_full kM 0.0001 16 32 0 357059 1347533 41709978 2.411367 13.022535 356 62646 47878664836.00
fb_clusterA_full kM 0.0001 16 32 1 357059 1346507 41711004 3.498757 14.329799 358 62669 47872446800.00
fb_clusterA_full kM 0.0001 16 32 2 357059 1346563 41710948 3.870923 13.385638 352 62663 47873643203.00
fb_clusterA_full kM 0.0001 16 8 0 357059 5384110 37673401 3.013665 15.967483 352 62646 47876522248.00
fb_clusterA_full kM 0.0001 16 8 1 357059 5383848 37673663 3.070175 16.978155 352 62667 47873688932.00
fb_clusterA_full kM 0.0001 16 8 2 357059 5383808 37673703 3.074508 17.041220 353 62647 47874716581.00
fb_clusterA_full kM 0.0001 2 1 0 357059 43057511 0 11.997338 41.705256 51 8242 10426797862.00
fb_clusterA_full kM 0.0001 2 1 1 357059 43057511 0 11.700545 46.102470 51 8242 10426797862.00
fb_clusterA_full kM 0.0001 2 1 2 357059 43057511 0 11.944534 44.264674 51 8242 10426797862.00
fb_clusterA_full kM 0.0001 2 32 0 357059 1347533 41709978 2.368732 1.100860 53 8243 10442349997.00
fb_clusterA_full kM 0.0001 2 32 1 357059 1346507 41711004 3.086725 1.038873 51 8245 10445012162.00
fb_clusterA_full kM 0.0001 2 32 2 357059 1346563 41710948 2.888611 0.966073 48 8243 10428944899.00
fb_clusterA_full kM 0.0001 2 8 0 357059 5384110 37673401 3.676939 2.112968 47 8246 10441172348.00
fb_clusterA_full kM 0.0001 2 8 1 357059 5383848 37673663 3.044948 1.547410 46 8244 10442160970.00
fb_clusterA_full kM 0.0001 2 8 2 357059 5383808 37673703 3.162207 1.910936 53 8244 10434655660.00
fb_clusterA_full kM 0.0001 8 1 0 357059 43057511 0 20.000301 282.904702 182 32340 29159196989.00
fb_clusterA_full kM 0.0001 8 1 1 357059 43057511 0 22.154372 282.528886 182 32340 29159196989.00
fb_clusterA_full kM 0.0001 8 1 2 357059 43057511 0 22.132022 279.680075 182 32340 29159196989.00
