graph,cores,seed,metis,umetis,uwmetis,ukahip,random,diststream
fb_clusterA_full,4,0,5.574,3.725,7.317,193.443,0.00223,3.60026
fb_clusterA_full,4,1,5.486,3.771,7.304,193.072,0.00219,3.60699
fb_clusterA_full,4,2,5.351,3.748,7.390,222.813,0.00219,2.76325
fb_clusterA_full,8,0,5.059,5.243,7.261,213.499,0.00481,3.03211
fb_clusterA_full,8,1,5.093,5.272,7.253,208.703,0.00395,2.00884
fb_clusterA_full,8,2,5.956,5.130,6.873,213.298,0.00361,3.96398
fb_clusterA_full,16,0,5.496,6.488,7.469,175.518,0.00509,1.43418
fb_clusterA_full,16,1,5.464,6.487,7.453,168.128,0.00416,1.56037
fb_clusterA_full,16,2,5.446,6.199,7.228,220.342,0.00677,1.82237
fb_clusterA_full,32,0,9.543,9.260,10.575,220.84,0.00893,3.12155
fb_clusterA_full,32,1,9.624,9.310,10.563,220.106,0.00428,1.46382
fb_clusterA_full,32,2,6.294,9.474,10.364,238.74,0.00563,1.27255
fb_clusterC_full,4,0,8.239,4.579,15.477,328.907,0.00672,4.64529
fb_clusterC_full,4,1,8.235,4.608,15.510,384.976,0.01029,4.77981
fb_clusterC_full,4,2,N/A,4.670,15.525,418.7,0.01052,4.81305
fb_clusterC_full,8,0,N/A,5.210,14.331,1367.4,0.01126,2.89276
fb_clusterC_full,8,1,N/A,5.271,14.319,1431.2,0.01086,3.75343
fb_clusterC_full,8,2,N/A,4.952,14.950,2277.88,0.01090,4.11231
fb_clusterC_full,16,0,N/A,6.540,11.230,3606.29,0.01681,2.65149
fb_clusterC_full,16,1,N/A,6.539,11.221,4005.23,0.01109,3.58367
fb_clusterC_full,16,2,N/A,6.756,11.071,4019.47,0.03265,2.49234
fb_clusterC_full,32,0,N/A,10.283,12.409,4632.77,0.02330,2.71450
fb_clusterC_full,32,1,N/A,10.201,12.402,4814.94,0.02565,3.57533
fb_clusterC_full,32,2,N/A,8.830,12.004,5069.24,0.04371,2.03687
rgg_s20_ef48_0.25_0.25_0.25_0.25_exp,4,0,77.945,121.779,117.611,104.89,0.01071,5.06378
rgg_s20_ef48_0.25_0.25_0.25_0.25_exp,4,1,33.628,114.388,108.585,116.67,0.01064,5.54388
rgg_s20_ef48_0.25_0.25_0.25_0.25_exp,4,2,33.303,50.861,125.301,103.404,0.01273,5.71779
rgg_s20_ef48_0.25_0.25_0.25_0.25_exp,8,0,31.891,117.527,123.491,110.302,0.01173,4.43196
rgg_s20_ef48_0.25_0.25_0.25_0.25_exp,8,1,98.812,113.934,46.709,104.181,0.00716,4.58447
rgg_s20_ef48_0.25_0.25_0.25_0.25_exp,8,2,31.964,107.120,121.164,120.467,0.01343,3.82081
rgg_s20_ef48_0.25_0.25_0.25_0.25_exp,16,0,43.724,159.893,151.483,2049.23,0.01204,2.03754
rgg_s20_ef48_0.25_0.25_0.25_0.25_exp,16,1,114.704,68.091,153.643,1928.68,0.01077,2.44293
rgg_s20_ef48_0.25_0.25_0.25_0.25_exp,16,2,N/A,155.848,145.420,1830,0.01520,2.40375
rgg_s20_ef48_0.25_0.25_0.25_0.25_exp,32,0,N/A,183.135,192.373,2267.56,0.02614,1.82405
rgg_s20_ef48_0.25_0.25_0.25_0.25_exp,32,1,N/A,94.566,184.861,2245.23,0.02136,1.71107
rgg_s20_ef48_0.25_0.25_0.25_0.25_exp,32,2,N/A,187.831,184.343,2188.58,0.02595,2.70090
rgg_s20_ef48_0.45_0.15_0.15_0.25_uni,4,0,34.725,109.843,43.616,55.8642,0.00695,3.08223
rgg_s20_ef48_0.45_0.15_0.15_0.25_uni,4,1,98.386,106.313,46.344,61.1499,0.00696,3.58166
rgg_s20_ef48_0.45_0.15_0.15_0.25_uni,4,2,34.566,47.389,100.819,58.8551,0.00700,3.67088
rgg_s20_ef48_0.45_0.15_0.15_0.25_uni,8,0,30.941,48.812,94.517,68.2759,0.00693,2.33227
rgg_s20_ef48_0.45_0.15_0.15_0.25_uni,8,1,30.968,43.300,115.464,68.7718,0.01150,2.25792
rgg_s20_ef48_0.45_0.15_0.15_0.25_uni,8,2,30.679,102.190,106.410,61.661,0.01167,3.45818
rgg_s20_ef48_0.45_0.15_0.15_0.25_uni,16,0,N/A,125.358,51.610,572.872,0.01213,1.68086
rgg_s20_ef48_0.45_0.15_0.15_0.25_uni,16,1,N/A,130.907,127.977,583.696,0.02096,1.97074
rgg_s20_ef48_0.45_0.15_0.15_0.25_uni,16,2,N/A,54.830,130.795,484.679,0.01318,1.89625
rgg_s20_ef48_0.45_0.15_0.15_0.25_uni,32,0,N/A,160.396,162.682,615.913,0.02127,1.50709
rgg_s20_ef48_0.45_0.15_0.15_0.25_uni,32,1,N/A,76.211,152.709,628.742,0.02732,1.76507
rgg_s20_ef48_0.45_0.15_0.15_0.25_uni,32,2,N/A,151.403,157.574,555.178,0.02191,1.33520
rgg_s20_ef48_0.25_0.25_0.25_0.25_uni,4,0,36.054,53.402,117.565,106.04,0.01265,5.31614
rgg_s20_ef48_0.25_0.25_0.25_0.25_uni,4,1,87.408,116.372,53.515,122.34,0.01141,4.85635
rgg_s20_ef48_0.25_0.25_0.25_0.25_uni,4,2,35.941,117.875,120.106,113.768,0.01063,6.45385
rgg_s20_ef48_0.25_0.25_0.25_0.25_uni,8,0,37.444,125.334,122.365,113.45,0.01099,4.50788
rgg_s20_ef48_0.25_0.25_0.25_0.25_uni,8,1,37.375,105.947,53.843,119.075,0.01320,4.29748
rgg_s20_ef48_0.25_0.25_0.25_0.25_uni,8,2,N/A,110.189,126.557,111.17,0.01054,4.21748
rgg_s20_ef48_0.25_0.25_0.25_0.25_uni,16,0,N/A,156.722,142.088,1906.76,0.02599,2.28109
rgg_s20_ef48_0.25_0.25_0.25_0.25_uni,16,1,N/A,147.266,157.292,1996.7,0.01279,2.51835
rgg_s20_ef48_0.25_0.25_0.25_0.25_uni,16,2,N/A,150.283,155.450,1912.72,0.01490,2.40567
rgg_s20_ef48_0.25_0.25_0.25_0.25_uni,32,0,N/A,179.548,183.735,2217.03,0.02179,2.21499
rgg_s20_ef48_0.25_0.25_0.25_0.25_uni,32,1,N/A,183.354,189.723,2306.41,0.02159,1.88880
rgg_s20_ef48_0.25_0.25_0.25_0.25_uni,32,2,N/A,181.521,187.709,2186.44,0.02747,1.51197
rgg_s20_ef48_0.55_0.15_0.15_0.15_exp,4,0,26.012,36.829,32.232,45.0151,0.01266,2.62923
rgg_s20_ef48_0.55_0.15_0.15_0.15_exp,4,1,72.840,88.202,74.128,45.1042,0.00693,2.80422
rgg_s20_ef48_0.55_0.15_0.15_0.15_exp,4,2,23.907,83.493,30.059,47.292,0.00675,2.65352
rgg_s20_ef48_0.55_0.15_0.15_0.15_exp,8,0,23.828,94.275,34.338,50.1008,0.01110,2.29119
rgg_s20_ef48_0.55_0.15_0.15_0.15_exp,8,1,23.385,85.037,31.892,43.6473,0.02555,2.92555
