graph algo p k cores seed v local_e cross_e read_time running_time rounds matching_size matching_weight
fb_clusterA_full kCS diststream 4 16 0 357059 2309760 40747751 22.681752 0.695661 171 16322 17915573784.00
fb_clusterA_full kCS diststream 4 16 1 357059 2371189 40686322 22.840278 0.698617 169 16320 17915571673.00
fb_clusterA_full kCS diststream 4 16 2 357059 2375942 40681569 23.782305 0.692927 168 16324 17915570090.00
fb_clusterA_full kCS diststream 4 32 0 357059 1372559 41684952 19.837567 0.384595 173 16322 17915574414.00
fb_clusterA_full kCS diststream 4 32 1 357059 1384089 41673422 19.957110 0.388631 172 16322 17915560251.00
fb_clusterA_full kCS diststream 4 32 2 357059 1385798 41671713 20.028870 0.389703 171 16323 17915555432.00
fb_clusterA_full kCS diststream 4 4 0 357059 5087435 37970076 34.790768 2.807732 173 16323 17915573697.00
fb_clusterA_full kCS diststream 4 4 1 357059 4149347 38908164 34.646124 2.876012 158 16318 17915554769.00
fb_clusterA_full kCS diststream 4 4 2 357059 6373282 36684229 34.647908 2.890428 164 16319 17915562637.00
fb_clusterA_full kCS diststream 4 8 0 357059 3198771 39858740 28.057968 1.485010 171 16321 17915565087.00
fb_clusterA_full kCS diststream 4 8 1 357059 2985131 40072380 27.638943 1.371832 166 16330 17915571465.00
fb_clusterA_full kCS diststream 4 8 2 357059 3286563 39770948 27.999347 1.379834 161 16322 17915559496.00
fb_clusterA_full kCS diststream 8 16 0 357059 2309760 40747751 23.239008 0.778405 324 32291 29135355398.00
fb_clusterA_full kCS diststream 8 16 1 357059 2371189 40686322 22.919262 0.775616 326 32297 29135356345.00
fb_clusterA_full kCS diststream 8 16 2 357059 2375942 40681569 22.830366 0.765426 320 32301 29135378358.00
fb_clusterA_full kCS diststream 8 32 0 357059 1372559 41684952 20.066738 0.483776 333 32300 29135367869.00
fb_clusterA_full kCS diststream 8 32 1 357059 1384089 41673422 20.576652 0.470359 339 32299 29135363163.00
fb_clusterA_full kCS diststream 8 32 2 357059 1385798 41671713 20.307593 0.468773 318 32295 29135358872.00
fb_clusterA_full kCS diststream 8 4 0 357059 5087435 37970076 35.037716 3.006886 326 32303 29135356270.00
fb_clusterA_full kCS diststream 8 4 1 357059 4149347 38908164 35.048412 3.095561 307 32298 29135370832.00
fb_clusterA_full kCS diststream 8 4 2 357059 6373282 36684229 36.240415 3.088612 328 32300 29135370047.00
fb_clusterA_full kCS diststream 8 8 0 357059 3198771 39858740 28.425128 1.548825 313 32299 29135368375.00
fb_clusterA_full kCS diststream 8 8 1 357059 2985131 40072380 28.463902 1.491226 318 32308 29135364924.00
fb_clusterA_full kCS diststream 8 8 2 357059 3286563 39770948 28.332355 1.461392 332 32296 29135365662.00
fb_clusterA_full kCS random 4 1 0 357059 43057511 0 17.259306 8.349995 156 16324 17915577116.00
fb_clusterA_full kCS random 4 1 1 357059 43057511 0 17.275876 8.341033 151 16316 17915554149.00
fb_clusterA_full kCS random 4 1 2 357059 43057511 0 17.509914 8.354329 155 16321 17915580105.00
fb_clusterA_full kCS random 4 16 0 357059 2693549 40363962 12.238893 0.677135 180 16324 17915577116.00
fb_clusterA_full kCS random 4 16 1 357059 2693409 40364102 12.390582 0.692073 172 16316 17915554149.00
