graph,algo,k,seed,n,m,read_time,running_time,matching_size,matching_weight
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp,kMM_1,16,0,1048576,50329356,32.406142,31.527854,8287329,712885453983.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp,kMM_1,16,1,1048576,50329356,32.406375,31.453879,8287329,712885453983.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp,kMM_1,16,2,1048576,50329356,20.157228,18.581779,8287329,712885453983.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp,MRepLM_1,16,0,1048576,50329356,32.403843,60.930405,8289581,717952547138.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp,MRepLM_1,16,1,1048576,50329356,33.199319,62.315585,8289657,717954120997.00
rmat_s20_ef48_0.25_0.25_0.25_0.25_exp,MRepLM_1,16,2,1048576,50329356,33.315081,46.137227,8289645,717951658629.00
rmat_s23_ef24_0.25_0.25_0.25_0.25_exp,kMM_1,16,0,8388608,201325970,132.148887,277.566183,65185914,4246050403506.00
rmat_s23_ef24_0.25_0.25_0.25_0.25_exp,kMM_1,16,1,8388608,201325970,142.240964,275.231667,65185914,4246050403506.00
rmat_s23_ef24_0.25_0.25_0.25_0.25_exp,kMM_1,16,2,8388608,201325970,101.554046,197.269344,65185914,4246050403506.00
rmat_s23_ef24_0.25_0.25_0.25_0.25_exp,MRepLM_1,16,0,8388608,201325970,140.020120,436.943023,65289634,4282541926662.00
rmat_s23_ef24_0.25_0.25_0.25_0.25_exp,MRepLM_1,16,1,8388608,201325970,142.052012,436.506718,65289564,4282543106040.00
rmat_s23_ef24_0.25_0.25_0.25_0.25_exp,MRepLM_1,16,2,8388608,201325970,141.919333,339.893841,65289751,4282542627180.00
rmat_s18_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,0,262144,11686498,4.326021,1.848639,1108576,79828930977.00
rmat_s18_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,1,262144,11686498,4.331260,1.804183,1108576,79828930977.00
rmat_s18_ef48_0.55_0.15_0.15_0.15_exp,kMM_1,16,2,262144,11686498,4.425859,1.837118,1108576,79828930977.00
rmat_s18_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,0,262144,11686498,4.329180,10.451162,1103417,79547834746.00
rmat_s18_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,1,262144,11686498,4.289711,13.070593,1103411,79547981138.00
rmat_s18_ef48_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,2,262144,11686498,7.559172,11.767587,1103410,79547966909.00
