graph algo p k cores repeat v local_e cross_e read_time running_time rounds matching_size matching_weight
fbA kMM diststream 16 16 0 357059 2309760 40747751 22.836535 2.146119 66 62688 47756782923.00
fbA kMM diststream 16 16 1 357059 2371189 40686322 23.671858 2.363096 65 62671 47758356404.00
fbA kMM diststream 16 16 2 357059 2375942 40681569 23.250428 2.099373 67 62689 47760053306.00
fbA kMM diststream 16 32 0 357059 1372559 41684952 20.938061 2.040666 66 62690 47758193512.00
fbA kMM diststream 16 32 1 357059 1384089 41673422 21.344077 1.975505 64 62681 47758748697.00
fbA kMM diststream 16 32 2 357059 1385798 41671713 21.034205 1.835026 65 62685 47751653478.00
fbA kMM diststream 16 4 0 357059 5087435 37970076 37.175759 4.005892 65 62684 47739999504.00
fbA kMM diststream 16 4 1 357059 4149347 38908164 37.265848 4.086258 65 62681 47763441727.00
fbA kMM diststream 16 4 2 357059 6373282 36684229 37.322665 3.828571 64 62685 47766862558.00
fbA kMM diststream 16 8 0 357059 3198771 39858740 28.857109 2.561978 65 62695 47755149219.00
fbA kMM diststream 16 8 1 357059 2985131 40072380 30.022253 2.895933 67 62678 47753989875.00
fbA kMM diststream 16 8 2 357059 3286563 39770948 31.138579 2.928968 67 62669 47758945668.00
fbA kMM diststream 32 16 0 357059 2309760 40747751 23.071532 3.214694 77 120325 79200867056.00
fbA kMM diststream 32 16 1 357059 2371189 40686322 23.153836 4.088671 77 120315 79203143632.00
fbA kMM diststream 32 16 2 357059 2375942 40681569 23.456399 3.167673 77 120343 79208076537.00
fbA kMM diststream 32 32 0 357059 1372559 41684952 20.822008 3.460796 78 120331 79203817534.00
fbA kMM diststream 32 32 1 357059 1384089 41673422 21.295058 3.626894 78 120314 79206324546.00
fbA kMM diststream 32 32 2 357059 1385798 41671713 21.313022 3.592099 77 120314 79212356356.00
fbA kMM diststream 32 4 0 357059 5087435 37970076 36.644773 6.180450 77 120312 79208176101.00
fbA kMM diststream 32 4 1 357059 4149347 38908164 36.810631 6.202737 76 120332 79207790244.00
fbA kMM diststream 32 4 2 357059 6373282 36684229 37.040485 6.243415 75 120315 79205285688.00
fbA kMM diststream 32 8 0 357059 3198771 39858740 29.341464 4.140952 76 120321 79201057441.00
fbA kMM diststream 32 8 1 357059 2985131 40072380 28.824593 4.586083 77 120329 79210602648.00
fbA kMM diststream 32 8 2 357059 3286563 39770948 30.451036 4.464136 77 120318 79202448265.00
fbA kMM diststream 4 16 0 357059 2309760 40747751 22.974482 0.993558 34 16323 17853189871.00
fbA kMM diststream 4 16 1 357059 2371189 40686322 23.254957 1.034453 36 16337 17869254622.00
fbA kMM diststream 4 16 2 357059 2375942 40681569 23.258412 0.951568 35 16333 17830674626.00
fbA kMM diststream 4 32 0 357059 1372559 41684952 21.593464 0.876696 35 16336 17860143476.00
fbA kMM diststream 4 32 1 357059 1384089 41673422 22.565233 0.864181 35 16340 17862691594.00
fbA kMM diststream 4 32 2 357059 1385798 41671713 21.787887 0.963228 33 16331 17830901402.00
fbA kMM diststream 4 4 0 357059 5087435 37970076 37.155195 1.732485 34 16321 17836568811.00
fbA kMM diststream 4 4 1 357059 4149347 38908164 37.593269 1.827150 36 16331 17826511767.00
fbA kMM diststream 4 4 2 357059 6373282 36684229 37.007397 1.717265 34 16340 17857088982.00
fbA kMM diststream 4 8 0 357059 3198771 39858740 28.716639 1.127859 35 16333 17831233620.00
fbA kMM diststream 4 8 1 357059 2985131 40072380 28.626855 1.231810 35 16334 17837274265.00
fbA kMM diststream 4 8 2 357059 3286563 39770948 30.728255 1.495778 34 16333 17826155572.00
fbA kMM diststream 8 16 0 357059 2309760 40747751 23.074255 1.463141 46 32343 29103524006.00
fbA kMM diststream 8 16 1 357059 2371189 40686322 23.239239 1.747394 47 32343 29103325141.00
fbA kMM diststream 8 16 2 357059 2375942 40681569 23.154469 1.555137 47 32329 29104297205.00
fbA kMM diststream 8 32 0 357059 1372559 41684952 21.008516 1.290524 47 32352 29092642124.00
fbA kMM diststream 8 32 1 357059 1384089 41673422 21.439494 1.265906 47 32355 29113846657.00
fbA kMM diststream 8 32 2 357059 1385798 41671713 21.261622 1.185845 49 32349 29107890424.00
fbA kMM diststream 8 4 0 357059 5087435 37970076 37.021306 2.685539 46 32350 29099385347.00
fbA kMM diststream 8 4 1 357059 4149347 38908164 37.505264 2.599225 45 32348 29108090861.00
fbA kMM diststream 8 4 2 357059 6373282 36684229 38.323975 2.578780 46 32340 29095225157.00
fbA kMM diststream 8 8 0 357059 3198771 39858740 29.083587 1.736312 47 32347 29106293228.00
fbA kMM diststream 8 8 1 357059 2985131 40072380 29.133269 2.004316 47 32355 29094305764.00
fbA kMM diststream 8 8 2 357059 3286563 39770948 30.917144 1.960221 48 32343 29108989869.00
fbA kMM random 16 1 0 357059 43057511 0 5.492293 24.053039 66 62687 47751485168.00
fbA kMM random 16 1 1 357059 43057511 0 9.799244 25.830171 66 62687 47751485168.00
fbA kMM random 16 1 2 357059 43057511 0 11.439986 22.763564 66 62687 47751485168.00
fbA kMM random 16 16 0 357059 2693549 40363962 2.630246 1.667459 65 62688 47741076278.00
fbA kMM random 16 16 1 357059 2693409 40364102 2.567922 1.694392 64 62690 47760450937.00
fbA kMM random 16 16 2 357059 2693762 40363749 2.721979 1.686990 65 62690 47748954363.00
fbA kMM random 16 32 0 357059 1347533 41709978 4.580038 1.891600 66 62691 47741208767.00
fbA kMM random 16 32 1 357059 1346507 41711004 4.933920 1.929244 67 62681 47761319126.00
fbA kMM random 16 32 2 357059 1346563 41710948 4.520697 1.735519 64 62675 47757611277.00
fbA kMM random 16 4 0 357059 10763443 32294068 5.495607 3.383319 64 62690 47759745707.00
fbA kMM random 16 4 1 357059 10771595 32285916 4.068311 3.408490 65 62695 47753606441.00
fbA kMM random 16 4 2 357059 10764721 32292790 3.993402 3.478122 66 62683 47762876129.00
fbA kMM random 16 8 0 357059 5384110 37673401 3.103262 2.087871 65 62690 47757661153.00
fbA kMM random 16 8 1 357059 5383848 37673663 3.101285 3.224766 66 62681 47761077965.00
fbA kMM random 16 8 2 357059 5383808 37673703 3.269630 3.468064 66 62681 47756859623.00
fbA kMM random 32 1 0 357059 43057511 0 5.153783 31.991195 75 120332 79200955165.00
fbA kMM random 32 1 1 357059 43057511 0 10.441620 32.653684 75 120332 79200955165.00
fbA kMM random 32 1 2 357059 43057511 0 12.098885 29.979818 75 120332 79200955165.00
fbA kMM random 32 16 0 357059 2693549 40363962 2.629008 2.349112 77 120327 79205380093.00
fbA kMM random 32 16 1 357059 2693409 40364102 2.709001 2.352609 76 120328 79200896382.00
fbA kMM random 32 16 2 357059 2693762 40363749 2.594212 2.336689 76 120330 79198663316.00
fbA kMM random 32 32 0 357059 1347533 41709978 2.458209 2.314024 78 120316 79212315723.00
fbA kMM random 32 32 1 357059 1346507 41711004 2.497790 2.635068 77 120348 79206001943.00
fbA kMM random 32 32 2 357059 1346563 41710948 2.573949 2.259985 79 120331 79199886225.00
fbA kMM random 32 4 0 357059 10763443 32294068 5.671699 4.862818 77 120338 79212436824.00
fbA kMM random 32 4 1 357059 10771595 32285916 4.084350 4.785604 77 120314 79198793147.00
fbA kMM random 32 4 2 357059 10764721 32292790 4.036547 5.102219 77 120314 79206307375.00
fbA kMM random 32 8 0 357059 5384110 37673401 3.012955 3.230197 78 120313 79204562991.00
fbA kMM random 32 8 1 357059 5383848 37673663 3.060643 3.257865 78 120337 79198131992.00
fbA kMM random 32 8 2 357059 5383808 37673703 3.299665 3.562263 78 120315 79211825216.00
fbA kMM random 4 1 0 357059 43057511 0 6.232179 9.337748 34 16331 17828175836.00
fbA kMM random 4 1 1 357059 43057511 0 7.446161 8.988635 34 16331 17828175836.00
